
2016preVFP

2023postBPix
statistical (background)      216,0  216,0  216,0
ABCD uncertainty              44,3  44,3  44,3
PAT-DSA Dimuon efficiency SF  22,4  44,9  32,6
statistical (signal)          14,3  49,0  30,3
PU                            17,3  22,7  20,7
b-tagging                     4,0  9,2  6,9
MET unclustered energy        0,0  10,8  8,3
DSA muon ID                   2,0  2,2  2,1
DSA muon reco                 2,0  2,0  2,0
MET JER uncertainty           0,0  3,5  2,4
Lxy uncertainty               0,0  2,7  1,2
JEC resolution                0,0  2,7  1,6
luminosity                    0,2  1,3  0,7
JEC scale                     0,0  1,4  0,8
IsoMu trigger                 0,3  0,8  0,6
muon tight ID                 0,2  0,5  0,3
MET JES uncertainty           0,0  0,7  1,2
muon tight Iso                0,2  0,4  0,3
muon loose Iso                0,1  0,5  0,3
muon loose ID                 0,0  0,1  0,1
